id_src,block_timestamp_src,event_index_src,extrinsic_index_src,phase_src,module_id_src,event_id_src,extrinsic_hash_src,finalized_src,dest_para_id,block_num_extracted,corr_id,id_dst,block_timestamp_dst,event_index_dst,extrinsic_index_dst,phase_dst,module_id_dst,event_id_dst,extrinsic_hash_dst,finalized_dst,dest_chain,source_chain,latency_s,cost,status
2173650700062,1721525760,21736507-62,21736507-3,0,xcmpallet,Sent,0x7da539f685ff95197b0310c3186dccfa1347cd24a5293649d987e654c31aaf2d,True,1000.0,21736507,0x41c8c8ce76755ba8ffed29ad66d18339ae3261943fdf98c0a61dfde4a864d290,673104000005,1721525778,6731040-5,,2,messagequeue,Processed,0xf4b64ca3e33bb637cab3b1b1a6081897bb70b265fa4219aa60efe77737650c59,True,assethub,polkadot,18,208678305,Success
2173627300056,1721524356,21736273-56,21736273-2,0,xcmpallet,Sent,0xf5dd79e28b20892f5b6346b65fed41a529f6722fea147ac58302718b3d078c6e,True,1000.0,21736273,0xb5b04aa1bb4e32f7a521f6ba88f47829f407c4ad5e321135e060b2f815fc01ff,673092400005,1721524374,6730924-5,,2,messagequeue,Processed,0x0b396552ccfeb9d6468f586d7027495e76f5fd847fa10ca890fbd80ebf21ae22,True,assethub,polkadot,18,208678305,Success
2173604400062,1721522976,21736044-62,21736044-3,0,xcmpallet,Sent,0x9f86a32963fc4bcb662b5582d0b04884c9fc6f21e8bdca06741a513fa7b64113,True,1000.0,21736044,0x3e9fbb45b09b4555f4e54382421fbf330796c463064b641a5f850eaac58220e5,673081100005,1721522994,6730811-5,,2,messagequeue,Processed,0x19ab42d533822eaed09988ba7b4e14fb996502bd06865f56f739a8deaa646ba0,True,assethub,polkadot,18,208678305,Success
2173594100054,1721522352,21735941-54,21735941-2,0,xcmpallet,Sent,0x9e18562e3ff5bc8fc184ac1a7f411b27e7c549315ab75ed2fd02d48c4ce60477,True,1000.0,21735941,0xc3a4f4a0bc068ab40dc9fc486b8c53417ae62f4d8355421049c5375be5d274cc,673075900005,1721522364,6730759-5,,2,messagequeue,Processed,0xacd553aca67e13621c1bf68c2271c90fb943fd62baf09b986bc1b4c0d36ef34b,True,assethub,polkadot,12,181667896,Success
2173413400064,1721511456,21734134-64,21734134-3,0,xcmpallet,Sent,0xc0270d45686f9d6299f7e4f989ede54a5cfffcb7f9a3903b1328361ecdfb10a7,True,1000.0,21734134,0x682e677c93af01540066dfa0d9cc50384750d25e03800cf795ff54af4a96c17c,672986900006,1721511468,6729869-6,,2,messagequeue,Processed,0x13b4005f5429a0640854018979ec687e23c6e7b4ef3bc1aa76d5e5314a7841ba,True,assethub,polkadot,12,182667896,Success
2173393500056,1721510262,21733935-56,21733935-2,0,xcmpallet,Sent,0x77de662b1eb1aa2e361a3847940a62a9ac2ea26abdd3bf5cfd1f76d3c4d909a7,True,1000.0,21733935,0x4fddee5960e972432b99c442a7cf09a944bd1d4d0c760bbfa941eee71412c25e,672977100003,1721510280,6729771-3,,2,messagequeue,Processed,0x2049fedc57a18fa0e894b14e288ea8a1289d6d827024555568b1382832b691e9,True,assethub,polkadot,18,182667896,Success
2173361100056,1721508318,21733611-56,21733611-2,0,xcmpallet,Sent,0xb822447d27463ad7122c290e930c974d57fa7024a23e8c11570f5c3a2087acce,True,1000.0,21733611,0x80e6feb2637236b11ed315225062a70c26ffecff724893294309a0e356b56493,672961000003,1721508330,6729610-3,,2,messagequeue,Processed,0xb99b3f147fc6099363bac2cd0e796cb66064d41e7e9d945d4b1c0d25d2aa9f67,True,assethub,polkadot,12,181667896,Success
2173299300063,1721504586,21732993-63,21732993-3,0,xcmpallet,Sent,0xc53a81cac28f3002a51695557cdc1747a1dff7c8d6a4a6eaf64576c8160d1732,True,1000.0,21732993,0x259b1d773829851099e7f7dd0ed39269aff8acc8db1cfc2b5e518428a490b2c8,672930200004,1721504604,6729302-4,,2,messagequeue,Processed,0xc3e92fc6c58cbbf19742c3ac863d67b1fff558f790cc99e60fa36643bb85b3c4,True,assethub,polkadot,18,179667896,Success
2173212700074,1721499366,21732127-74,21732127-4,0,xcmpallet,Sent,0x20c876202b3237047e477d9e5094f5f1e65ac35e2f14affb11ad94e28f7caf79,True,1000.0,21732127,0x657281c48e1065cacef412e239a9bb3980d9c1ef0b9291e34505c4ada44ea305,672887500004,1721499384,6728875-4,,2,messagequeue,Processed,0xdfda517861e754aef8d579f6cf4d0c11a70151cd3bbf1362230ad1d6c28675d9,True,assethub,polkadot,18,181667896,Success
2172992200057,1721486070,21729922-57,21729922-2,0,xcmpallet,Sent,0x39a61af7a006c089d5f76442de1cbd271fd48601b4c28c3d5aef10d644c0c522,True,1000.0,21729922,0x37acd4e47476e23c2ab3e77b49761a178a2fc817b218e47bfcd97b0a3531fcea,672778200004,1721486088,6727782-4,,2,messagequeue,Processed,0x26bc6c5cab7ef6494181bebfdb55e7d9c0bb61cf19979551203332b803d0833c,True,assethub,polkadot,18,182667896,Success
